year,county,Hospital,OSHPDID,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LATITUDE,LONGITUDE
2013,Alameda,Washington Hospital – Fremont,106010987,STOMACH,2,,37.55847,-121.98006
2013,Alameda,San Leandro Hospital,106013619,BREAST,20,,37.71364,-122.14067
2013,Alameda,San Leandro Hospital,106013619,RECTUM,1,,37.71364,-122.14067
2013,Alameda,San Leandro Hospital,106013619,COLON,8,,37.71364,-122.14067
2013,Alameda,Valleycare Medical Center,106014050,STOMACH,1,,37.69206,-121.88095
2013,Alameda,Valleycare Medical Center,106014050,LUNG,3,,37.69206,-121.88095
2013,Alameda,Valleycare Medical Center,106014050,BREAST,64,,37.69206,-121.88095
2013,Alameda,Valleycare Medical Center,106014050,ESOPHAGUS,3,,37.69206,-121.88095
2013,Alameda,Valleycare Medical Center,106014050,RECTUM,5,,37.69206,-121.88095
2013,Alameda,Valleycare Medical Center,106014050,COLON,25,,37.69206,-121.88095
2013,Alameda,Eden Medical Center,106014233,BLADDER,1,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,BREAST,54,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,COLON,13,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,STOMACH,1,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,LIVER,1,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,PANCREAS,1,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,BRAIN,27,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,RECTUM,3,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,PROSTATE,3,,37.6983769,-122.0874055
2013,Alameda,Eden Medical Center,106014233,LUNG,10,,37.6983769,-122.0874055
2013,Amador,Sutter Amador Hospital,106034002,COLON,7,,38.34743,-120.77272
2013,Amador,Sutter Amador Hospital,106034002,BREAST,3,,38.34743,-120.77272
2013,Butte,Biggs Gridley Memorial Hospital,106040802,COLON,2,,39.36705,-121.69058
2013,Butte,Feather River Hospital,106040875,BREAST,48,,39.75641,-121.57218
2013,Butte,Feather River Hospital,106040875,RECTUM,3,,39.75641,-121.57218
2013,Butte,Feather River Hospital,106040875,COLON,14,,39.75641,-121.57218
2013,Butte,Feather River Hospital,106040875,LUNG,4,,39.75641,-121.57218
2013,Butte,Oroville Hospital,106040937,BREAST,28,,39.50485,-121.5428
2013,Butte,Oroville Hospital,106040937,STOMACH,1,,39.50485,-121.5428
2013,Butte,Oroville Hospital,106040937,PROSTATE,13,,39.50485,-121.5428
2013,Butte,Oroville Hospital,106040937,RECTUM,1,,39.50485,-121.5428
2013,Butte,Oroville Hospital,106040937,LUNG,1,,39.50485,-121.5428
2013,Butte,Oroville Hospital,106040937,COLON,12,,39.50485,-121.5428
2013,Butte,Enloe Medical Center – Esplanade,106040962,RECTUM,7,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,COLON,41,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,STOMACH,1,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,LUNG,14,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,BRAIN,6,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,BREAST,158,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,BLADDER,4,,39.74224,-121.84922
2013,Butte,Enloe Medical Center – Esplanade,106040962,PROSTATE,10,,39.74224,-121.84922
2013,Calaveras,Mark Twain Medical Center,106050932,COLON,2,,38.19021,-120.67105
2013,Calaveras,Mark Twain Medical Center,106050932,BREAST,9,,38.19021,-120.67105
2013,Colusa,Colusa Regional Medical Center,106060870,COLON,1,,39.20727,-122.00031
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,BREAST,17,,37.95279,-122.33866
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,PROSTATE,1,,37.95279,-122.33866
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,BLADDER,1,,37.95279,-122.33866
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,STOMACH,2,,37.95279,-122.33866
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,COLON,11,,37.95279,-122.33866
2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,RECTUM,6,,37.95279,-122.33866
2013,Contra Costa,Contra Costa Regional Medical Center,106070924,BREAST,77,,38.00646,-122.13101
2013,Contra Costa,Contra Costa Regional Medical Center,106070924,RECTUM,3,,38.00646,-122.13101
2013,Contra Costa,Contra Costa Regional Medical Center,106070924,STOMACH,1,,38.00646,-122.13101
2013,Contra Costa,Contra Costa Regional Medical Center,106070924,COLON,18,,38.00646,-122.13101
2013,Contra Costa,Sutter Delta Medical Center,106070934,COLON,9,,37.98222,-121.8054
2013,Contra Costa,Sutter Delta Medical Center,106070934,STOMACH,1,,37.98222,-121.8054
2013,Contra Costa,Sutter Delta Medical Center,106070934,BLADDER,1,,37.98222,-121.8054
2013,Contra Costa,Sutter Delta Medical Center,106070934,BREAST,33,,37.98222,-121.8054
2013,Contra Costa,Sutter Delta Medical Center,106070934,PROSTATE,3,,37.98222,-121.8054
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,BRAIN,37,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,STOMACH,1,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,LIVER,5,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,PROSTATE,2,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,PANCREAS,2,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,COLON,32,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,BREAST,107,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,BLADDER,2,,37.91434,-122.04183
2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,LUNG,36,,37.91434,-122.04183
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,ESOPHAGUS,5,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,COLON,78,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,STOMACH,3,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,PROSTATE,11,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,RECTUM,26,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,BREAST,375,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,PANCREAS,1,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,LUNG,46,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,BLADDER,4,,37.8923,-122.05828
2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,LIVER,1,,37.8923,-122.05828
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,COLON,30,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,LUNG,28,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,PROSTATE,54,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,STOMACH,3,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,BREAST,68,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,RECTUM,21,,37.98615,-122.03874
2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,ESOPHAGUS,6,,37.98615,-122.03874
2013,Contra Costa,San Ramon Regional Medical Center,106074017,PROSTATE,16,,37.77713,-121.96076
2013,Contra Costa,San Ramon Regional Medical Center,106074017,LUNG,3,,37.77713,-121.96076
2013,Contra Costa,San Ramon Regional Medical Center,106074017,BREAST,104,,37.77713,-121.96076
2013,Contra Costa,San Ramon Regional Medical Center,106074017,COLON,19,,37.77713,-121.96076
2013,Contra Costa,San Ramon Regional Medical Center,106074017,RECTUM,4,,37.77713,-121.96076
2013,Contra Costa,San Ramon Regional Medical Center,106074017,LIVER,1,,37.77713,-121.96076
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,BREAST,104,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,PANCREAS,10,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,COLON,42,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,LIVER,31,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,STOMACH,12,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,BLADDER,2,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,RECTUM,6,,37.951975,-121.776854
2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,PROSTATE,1,,37.951975,-121.776854
2013,Del Norte,Sutter Coast Hospital,106084001,COLON,4,,41.77278,-124.19514
2013,Del Norte,Sutter Coast Hospital,106084001,BREAST,18,,41.77278,-124.19514
2013,El Dorado,Barton Memorial Hospital,106090793,COLON,4,,38.91224,-119.99784
2013,El Dorado,Barton Memorial Hospital,106090793,BREAST,11,,38.91224,-119.99784
2013,El Dorado,Marshall Medical Center,106090933,LUNG,3,,38.72557326,-120.7909638
2013,El Dorado,Marshall Medical Center,106090933,RECTUM,5,,38.72557326,-120.7909638
2013,El Dorado,Marshall Medical Center,106090933,PROSTATE,1,,38.72557326,-120.7909638
2013,El Dorado,Marshall Medical Center,106090933,STOMACH,1,,38.72557326,-120.7909638
2013,El Dorado,Marshall Medical Center,106090933,COLON,19,,38.72557326,-120.7909638
2013,El Dorado,Marshall Medical Center,106090933,BREAST,45,,38.72557326,-120.7909638
2013,Fresno,Clovis Community Medical Center,106100005,LUNG,14,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,STOMACH,8,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,PANCREAS,4,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,RECTUM,10,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,LIVER,2,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,BLADDER,3,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,ESOPHAGUS,3,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,COLON,38,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,PROSTATE,35,,36.83745,-119.66072
2013,Fresno,Clovis Community Medical Center,106100005,BREAST,362,,36.83745,-119.66072
2013,Fresno,Community Regional Medical Center – Fresno,106100717,LUNG,11,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,STOMACH,9,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,COLON,28,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,PROSTATE,50,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,BRAIN,37,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,BLADDER,1,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,LIVER,22,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,BREAST,47,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,PANCREAS,17,,36.74253,-119.78324
2013,Fresno,Community Regional Medical Center – Fresno,106100717,RECTUM,14,,36.74253,-119.78324
2013,Fresno,Saint Agnes Medical Center,106100899,RECTUM,10,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,BREAST,146,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,LUNG,28,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,PROSTATE,38,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,STOMACH,1,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,COLON,24,,36.8370782,-119.7649963
2013,Fresno,Saint Agnes Medical Center,106100899,BRAIN,4,,36.8370782,-119.7649963
2013,Fresno,Fresno Surgical Hospital,106104047,BREAST,38,,36.82531,-119.78155
2013,Fresno,Fresno Surgical Hospital,106104047,PROSTATE,8,,36.82531,-119.78155
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,BRAIN,6,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,STOMACH,1,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,RECTUM,2,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,LUNG,6,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,BREAST,129,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,BLADDER,1,,36.84246,-119.7832
2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,COLON,33,,36.84246,-119.7832
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,COLON,24,,36.8611,-119.78931
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,STOMACH,3,,36.8611,-119.78931
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,RECTUM,16,,36.8611,-119.78931
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,LUNG,18,,36.8611,-119.78931
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,PANCREAS,2,,36.8611,-119.78931
2013,Fresno,Fresno Heart and Surgical Hospital,106105029,LIVER,3,,36.8611,-119.78931
2013,Humboldt,Mad River Community Hospital,106121002,BREAST,3,,40.90351,-124.09038
2013,Humboldt,Mad River Community Hospital,106121002,COLON,9,,40.90351,-124.09038
2013,Humboldt,Mad River Community Hospital,106121002,ESOPHAGUS,1,,40.90351,-124.09038
2013,Humboldt,Redwood Memorial Hospital,106121051,LUNG,1,,40.58267,-124.13549
2013,Humboldt,Redwood Memorial Hospital,106121051,BREAST,21,,40.58267,-124.13549
2013,Humboldt,Redwood Memorial Hospital,106121051,COLON,4,,40.58267,-124.13549
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,BRAIN,2,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,STOMACH,2,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,PROSTATE,4,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,RECTUM,4,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,PANCREAS,3,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,BREAST,63,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,LUNG,12,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,COLON,19,,40.7832,-124.14216
2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,BLADDER,4,,40.7832,-124.14216
2013,Imperial,El Centro Regional Medical Center,106130699,PROSTATE,18,,32.78138,-115.49824
2013,Imperial,El Centro Regional Medical Center,106130699,COLON,14,,32.78138,-115.49824
2013,Imperial,El Centro Regional Medical Center,106130699,BRAIN,1,,32.78138,-115.49824
2013,Imperial,El Centro Regional Medical Center,106130699,BREAST,18,,32.78138,-115.49824
2013,Imperial,El Centro Regional Medical Center,106130699,LUNG,4,,32.78138,-115.49824
2013,Imperial,El Centro Regional Medical Center,106130699,BLADDER,1,,32.78138,-115.49824
2013,Imperial,Pioneers Memorial Healthcare District,106130760,BRAIN,1,,32.96003,-115.55183
2013,Imperial,Pioneers Memorial Healthcare District,106130760,COLON,4,,32.96003,-115.55183
2013,Imperial,Pioneers Memorial Healthcare District,106130760,BREAST,12,,32.96003,-115.55183
2013,Imperial,Pioneers Memorial Healthcare District,106130760,PROSTATE,1,,32.96003,-115.55183
2013,Inyo,Northern Inyo Hospital,106141273,COLON,4,,37.36207,-118.40756
2013,Inyo,Northern Inyo Hospital,106141273,BREAST,6,,37.36207,-118.40756
2013,Kern,Delano Regional Medical Center,106150706,BREAST,7,,35.76143,-119.23706
2013,Kern,Delano Regional Medical Center,106150706,STOMACH,1,,35.76143,-119.23706
2013,Kern,Delano Regional Medical Center,106150706,RECTUM,3,,35.76143,-119.23706
2013,Kern,Delano Regional Medical Center,106150706,COLON,4,,35.76143,-119.23706
2013,Kern,Bakersfield Memorial Hospital,106150722,BLADDER,1,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,LUNG,26,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,BRAIN,15,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,RECTUM,8,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,STOMACH,5,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,PROSTATE,5,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,COLON,34,,35.39051,-119.00658
2013,Kern,Bakersfield Memorial Hospital,106150722,BREAST,61,,35.39051,-119.00658
2013,Kern,Kern Medical Center,106150736,BRAIN,3,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,LIVER,2,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,LUNG,1,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,STOMACH,4,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,RECTUM,3,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,BREAST,31,,35.380833,-118.967222
2013,Kern,Kern Medical Center,106150736,COLON,6,,35.380833,-118.967222
2013,Kern,Mercy Hospital – Bakersfield,106150761,RECTUM,5,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,PROSTATE,17,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,STOMACH,2,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,LUNG,4,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,COLON,18,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,BREAST,100,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,BRAIN,2,,35.37323,-119.02715
2013,Kern,Mercy Hospital – Bakersfield,106150761,BLADDER,1,,35.37323,-119.02715
2013,Kern,Good Samaritan Hospital – Bakersfield,106150775,PROSTATE,1,,35.41216,-119.03913
2013,Kern,Ridgecrest Regional Hospital,106150782,BREAST,6,,35.6404,-117.66996
2013,Kern,Ridgecrest Regional Hospital,106150782,COLON,4,,35.6404,-117.66996
2013,Kern,Ridgecrest Regional Hospital,106150782,RECTUM,1,,35.6404,-117.66996
2013,Kern,San Joaquin Community Hospital,106150788,RECTUM,6,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,STOMACH,2,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,COLON,48,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,PROSTATE,13,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,LUNG,6,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,PANCREAS,2,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,BLADDER,1,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,BREAST,93,,35.383064,-119.018775
2013,Kern,San Joaquin Community Hospital,106150788,BRAIN,13,,35.383064,-119.018775
2013,Kern,Bakersfield Heart Hospital,106154101,COLON,4,,35.38619,-119.04314
2013,Kern,Bakersfield Heart Hospital,106154101,BREAST,2,,35.38619,-119.04314
2013,Kern,Bakersfield Heart Hospital,106154101,STOMACH,1,,35.38619,-119.04314
2013,Kings,Adventist Medical Center,106164029,LUNG,2,,36.3256247,-119.6683912
2013,Kings,Adventist Medical Center,106164029,RECTUM,6,,36.3256247,-119.6683912
2013,Kings,Adventist Medical Center,106164029,LIVER,2,,36.3256247,-119.6683912
2013,Kings,Adventist Medical Center,106164029,PROSTATE,7,,36.3256247,-119.6683912
2013,Kings,Adventist Medical Center,106164029,COLON,22,,36.3256247,-119.6683912
2013,Kings,Adventist Medical Center,106164029,STOMACH,1,,36.3256247,-119.6683912
